V_over_eps,energy_over_eps
0.0,-1.0
0.05263157894736842,-1.0016315789473684
0.10526315789473684,-1.0055063157894737
0.15789473684210525,-1.0122884210526315
0.21052631578947367,-1.0219578947368422
0.2631578947368421,-1.0339652631578948
0.3157894736842105,-1.0484231578947367
0.3684210526315789,-1.0664947368421052
0.42105263157894735,-1.0838747368421053
0.47368421052631576,-1.1082094736842105
0.5263157894736842,-1.1289126315789475
0.5789473684210527,-1.1500431578947368
0.631578947368421,-1.1836757894736842
0.6842105263157894,-1.2130526315789474
0.7368421052631579,-1.2418663157894736
0.7894736842105263,-1.2744547368421053
0.8421052631578947,-1.3087947368421053
0.894736842105263,-1.3401315789473682
0.9473684210526315,-1.3737915789473685
1.0,-1.4114600000000002
