lmbda,energy
0.0,0.0
0.05263157894736842,0.15798821052631568
0.10526315789473684,0.31560126315789483
0.15789473684210525,0.47344042105263157
0.21052631578947367,0.6310791578947369
0.2631578947368421,0.7890768421052631
0.3157894736842105,0.9453023157894737
0.3684210526315789,1.102910947368421
0.42105263157894735,1.2574896842105263
0.47368421052631576,1.4146094736842105
0.5263157894736842,1.5664189473684211
0.5789473684210527,1.7157606315789475
0.631578947368421,1.8516408421052633
0.6842105263157894,1.8648280000000002
0.7368421052631579,1.7449006315789473
0.7894736842105263,1.606392631578947
0.8421052631578947,1.4466538947368424
0.894736842105263,1.2954995789473691
0.9473684210526315,1.1362648421052635
1.0,0.9778440000000002
