lambdas,lower_eigs
0.0,0.0
0.001,0.002999428571475219
0.002,0.005997714286460641
0.003,0.008994857146635565
0.004,0.011990857154798803
0.005,0.014985714314868686
0.006,0.017979428631883027
0.007,0.020972000111999105
0.008,0.023963428762493633
0.009000000000000001,0.026953714591762722
0.01,0.029942857609321832
0.011,0.03293085782580575
0.012,0.03591771525296852
0.013000000000000001,0.03890342990368337
0.014,0.04188800179194266
0.015,0.04487143093285786
0.016,0.047853717342659405
0.017,0.05083486103869666
0.018000000000000002,0.053814862039437784
0.019,0.05679372036446972
0.02,0.05977143603449805
0.021,0.06274800907134688
0.022,0.06572343949795875
0.023,0.06869772733839458
0.024,0.07167087261783339
0.025,0.07464287536257239
0.026000000000000002,0.07761373560002668
0.027,0.0805834533587292
0.028,0.08355202866833057
0.029,0.08651946155959897
0.03,0.08948575206441989
0.031,0.09245090021579615
0.032,0.09541490604784755
0.033,0.09837776959581085
0.034,0.1013394908960395
0.035,0.10430006998600352
0.036000000000000004,0.10725950690428927
0.037,0.1102178016905993
0.038,0.11317495438575222
0.039,0.1161309650316823
0.04,0.11908583367143946
0.041,0.12203956034918897
0.042,0.12499214511021127
0.043000000000000003,0.1279435880009017
0.044,0.1308938890687703
0.045,0.13384304836244168
0.046,0.13679106593165452
0.047,0.13973794182726165
0.048,0.14268367610122953
0.049,0.14562826880663815
0.05,0.14857171999768073
0.051000000000000004,0.1515140297296635
0.052000000000000005,0.15445519805900532
0.053,0.1573952250432374
0.054,0.16033411074100332
0.055,0.16327185521205828
0.056,0.1662084585172692
0.057,0.16914392071861412
0.058,0.17207824187918214
0.059000000000000004,0.175011422063173
0.06,0.1779434613358967
0.061,0.18087435976377342
0.062,0.18380411741433286
0.063,0.1867327343562142
0.064,0.18966021065916566
0.065,0.19258654639404402
0.066,0.19551174163281457
0.067,0.1984357964485505
0.068,0.20135871091543261
0.069,0.2042804851087491
0.07,0.207201119104895
0.07100000000000001,0.21012061298137188
0.07200000000000001,0.21303896681678747
0.073,0.2159561806908552
0.074,0.21887225468439417
0.075,0.2217871888793281
0.076,0.22470098335868566
0.077,0.22761363820659936
0.078,0.23052515350830582
0.079,0.2334355293501448
0.08,0.23634476581955913
0.081,0.23925286300509407
0.082,0.2421598209963971
0.083,0.24506563988421726
0.084,0.24797031976040476
0.085,0.25087386071791073
0.08600000000000001,0.2537762628507865
0.08700000000000001,0.2566775262541834
0.088,0.25957765102435176
0.089,0.26247663725864145
0.09,0.26537448505550026
0.091,0.2682711945144743
0.092,0.27116676573620696
0.093,0.2740611988224388
0.094,0.2769544938760068
0.095,0.27984665100084394
0.096,0.2827376703019787
0.097,0.2856275518855347
0.098,0.2885162958587299
0.099,0.29140390232987623
0.1,0.2942903714083792
0.101,0.2971757032047371
0.10200000000000001,0.3000598978305406
0.10300000000000001,0.3029429553984722
0.10400000000000001,0.30582487602230574
0.105,0.3087056598169058
0.106,0.31158530689822717
0.107,0.3144638173833141
0.108,0.3173411913903001
0.109,0.320217429038407
0.11,0.32309253044794467
0.111,0.32596649574031017
0.112,0.3288393250379874
0.113,0.3317110184645463
0.114,0.33458157614464257
0.115,0.3374509982040166
0.116,0.3403192847694932
0.117,0.343186435968981
0.11800000000000001,0.34605245193147166
0.11900000000000001,0.3489173327870394
0.12,0.3517810786668401
0.121,0.3546436897031111
0.122,0.35750516602917026
0.123,0.36036550777941534
0.124,0.36322471508932336
0.125,0.3660827880954501
0.126,0.36893972693542926
0.127,0.37179553174797186
0.128,0.37465020267286553
0.129,0.377503739850974
0.13,0.3803561434242363
0.131,0.3832074135356659
0.132,0.3860575503293505
0.133,0.3889065539504507
0.134,0.3917544245452
0.135,0.3946011622609034
0.136,0.39744676724593736
0.137,0.4002912396497485
0.138,0.4031345796228532
0.139,0.4059767873168369
0.14,0.40881786288435334
0.14100000000000001,0.4116578064791236
0.14200000000000002,0.4144966182559357
0.14300000000000002,0.4173342983706437
0.14400000000000002,0.4201708469801667
0.145,0.42300626424248866
0.146,0.42584055031665735
0.147,0.4286737053627833
0.148,0.4315057295420395
0.149,0.43433662301666026
0.15,0.4371663859499408
0.151,0.4399950185062361
0.152,0.44282252085096047
0.153,0.4456488931505863
0.154,0.4484741355726439
0.155,0.4512982482857199
0.156,0.45412123145945743
0.157,0.4569430852645541
0.158,0.45976380987276266
0.159,0.4625834054568886
0.16,0.46540187219079054
0.161,0.46821921024937885
0.162,0.47103541980861485
0.163,0.47385050104551024
0.164,0.4766644541381259
0.165,0.4794772792655713
0.166,0.4822889766080034
0.167,0.48509954634662616
0.168,0.4879089886636893
0.169,0.4907173037424878
0.17,0.4935244917673605
0.171,0.49633055292369005
0.17200000000000001,0.49913548739790087
0.17300000000000001,0.5019392953774596
0.17400000000000002,0.5047419770508732
0.17500000000000002,0.5075435326076885
0.176,0.5103439622384909
0.177,0.513143266134904
0.178,0.5159414444895889
0.179,0.518738497496242
0.18,0.5215344253495957
0.181,0.5243292282454158
0.182,0.5271229063805027
0.183,0.5299154599526882
0.184,0.5327068891608361
0.185,0.5354971942048404
0.186,0.5382863752856256
0.187,0.5410744326051438
0.188,0.5438613663663756
0.189,0.546647176773328
0.19,0.549431864031034
0.191,0.5522154283455513
0.192,0.5549978699239616
0.193,0.5577791889743693
0.194,0.5605593857059012
0.195,0.5633384603287044
0.196,0.5661164130539464
0.197,0.5688932440938137
0.198,0.5716689536615104
0.199,0.5744435419712575
0.2,0.5772170092382927
0.201,0.5799893556788677
0.202,0.5827605815102489
0.203,0.585530686950715
0.20400000000000001,0.5882996722195574
