V_over_eps,energy_over_eps
0.0,-0.99999
0.05263157894736842,-1.0013242105263158
0.10526315789473684,-1.0050957894736843
0.15789473684210525,-1.0112994736842105
0.21052631578947367,-1.0218263157894738
0.2631578947368421,-1.032352105263158
0.3157894736842105,-1.0499610526315788
0.3684210526315789,-1.064457894736842
0.42105263157894735,-1.0854531578947368
0.47368421052631576,-1.1060442105263157
0.5263157894736842,-1.1319547368421052
0.5789473684210527,-1.1555257894736841
0.631578947368421,-1.1808263157894736
0.6842105263157894,-1.20975
0.7368421052631579,-1.2381305263157893
0.7894736842105263,-1.2728894736842107
0.8421052631578947,-1.3052973684210525
0.894736842105263,-1.337541052631579
0.9473684210526315,-1.3768631578947368
1.0,-1.4182299999999999
