lambdas,lower_eigs
0.0,0.0
0.01,0.029998984771834714
0.02,0.059995876293042816
0.03,0.08999057593947946
0.04,0.11998297880045783
0.05,0.14997297317039182
0.06,0.17996043999038358
0.07,0.20994525223388738
0.08,0.2399272742298404
0.09,0.2699063609156873
0.1,0.29988235701172705
0.11,0.32985509610692754
0.12,0.3598243996449644
0.13,0.38979007579756875
0.14,0.41975191821030844
0.15,0.4497097046036833
0.16,0.4796631952096928
0.17,0.509612131020921
0.18,0.5395562318254084
0.19,0.5694951939961896
0.2,0.5994286879990725
0.21,0.6293563555759651
0.22,0.6592778065534981
0.23,0.6891926152176286
0.24,0.7191003161839715
0.25,0.7490003996803196
0.26,0.7788923061416737
0.27,0.8087754199983954
0.28,0.8386490625138325
0.29,0.8685124834979403
0.3,0.8983648516863671
0.31,0.9282052435284074
0.32,0.958032630069444
0.33,0.9878458615408423
0.34,1.017643649178161
0.35000000000000003,1.0474245436712113
0.36,1.0771869094990039
0.37,1.1069288942083053
0.38,1.1366483914418182
0.39,1.1663429961908793
0.4,1.196009950310329
0.41000000000000003,1.2256460757508876
0.42,1.2552476921821591
0.43,1.2848105146186781
0.44,1.314329525209084
0.45,1.3437988113390835
0.46,1.3732113593881907
0.47000000000000003,1.402558789503101
0.48,1.4318310110539294
0.49,1.4610157701750448
0.5,1.4900980486407214
0.51,1.5190592552091267
0.52,1.5478761231697666
0.53,1.576519185794681
0.54,1.6049506359959558
0.55,1.6331212734431173
0.56,1.6609660783933267
0.5700000000000001,1.688397689353882
0.58,1.7152966456116119
0.59,1.7414966151092022
0.6,1.7667619242061878
0.61,1.790753733605591
0.62,1.8129812843590245
0.63,1.8327397237835594
0.64,1.8490563018870942
0.65,1.8607161172281588
0.66,1.866493445853771
0.67,1.8656273837420734
0.68,1.8582396388266451
0.6900000000000001,1.8452615109289223
0.7000000000000001,1.8279534946591474
0.71,1.807479871182258
0.72,1.7847420152468205
0.73,1.7603836399575354
0.74,1.7348509852931755
0.75,1.708452405257735
0.76,1.6814030759721617
0.77,1.6538555214942754
0.78,1.6259197946963782
0.79,1.5976767468813167
0.8,1.5691868154292394
0.81,1.540495919495811
0.8200000000000001,1.5116394774349589
0.8300000000000001,1.482645189449252
0.84,1.4535349965459818
0.85,1.42432648141503
0.86,1.3950338852464543
0.87,1.3656688561957564
0.88,1.3362410075938707
0.89,1.3067583393938302
0.9,1.2772275600162937
0.91,1.2476543347636009
0.92,1.218043479469606
0.93,1.1883991128639644
0.9400000000000001,1.1587247774954974
0.9500000000000001,1.129023536483333
0.96,1.0992980515175956
0.97,1.0695506461929267
0.98,1.0397833577780482
0.99,1.0099979798000414
1.0,0.9801960972814431
