V_over_eps,energy_over_eps
0.0,-1.9998200000000002
0.05263157894736842,-2.006993351712972
0.10526315789473684,-2.032671774028795
0.15789473684210525,-2.068330414409614
0.21052631578947367,-2.1299060456539776
0.2631578947368421,-2.1941385311599286
0.3157894736842105,-2.2800985288959783
0.3684210526315789,-2.370848513651017
0.42105263157894735,-2.476293912536347
0.47368421052631576,-2.5749198947344922
0.5263157894736842,-2.704357124991134
0.5789473684210527,-2.8212744459183057
0.631578947368421,-2.965996131797416
0.6842105263157894,-3.1002192227443315
0.7368421052631579,-3.234700630483858
0.7894736842105263,-3.3697059373252825
0.8421052631578947,-3.5163080369346607
0.894736842105263,-3.684183420046558
0.9473684210526315,-3.823916421243694
1.0,-3.9849790504460163
